Title,Author,Length
Dark Russian Angel,Odette Stone,10 hrs and 13 mins
Big Witch Energy,Molly Harper,9 hrs and 49 mins
After We Collided,Anna Todd,19 hrs and 16 mins
The House Without a Key,Marin Montgomery,9 hrs and 27 mins
The House Without a Key,Marin Montgomery,9 hrs and 27 mins
I Don't Dance,Lani Lynn Vale,1 hr and 53 mins
Under Locke,Mariana Zapata,16 hrs and 6 mins
Dr. Mitchell,Raylin Marks,10 hrs and 55 mins
Paladin's Grace,T. Kingfisher,12 hrs and 30 mins
The Fiery Cross,Diana Gabaldon,55 hrs and 30 mins
The Choice,Nora Roberts,15 hrs and 18 mins
Soccer mom,Marilou Addison,9 hrs and 20 mins
Enchanting Pleasures,Eloisa James,13 hrs and 21 mins
Joey,JA Huss,9 hrs and 4 mins
The Unleashing,Shelly Laurenston,11 hrs and 28 mins
Wretched,Emily McIntire,8 hrs and 18 mins
American Queen,Sierra Simone,12 hrs and 30 mins
Wideacre,Philippa Gregory,26 hrs and 41 mins
The Christmas Dress,Courtney Cole,8 hrs and 23 mins
Headstrong,Eden Finley,7 hrs and 8 mins
Cerberus MC Box Set 1,Marie James,27 hrs and 52 mins
The Right Time,Danielle Steel,9 hrs and 9 mins
The Rise of Magicks,Nora Roberts,14 hrs and 3 mins
A Court of Silver Flames (2 of 2) (Dramatized Adaptation),Sarah J. Maas,10 hrs and 33 mins
American Prince,Sierra Simone,11 hrs and 17 mins
American Prince,Sierra Simone,11 hrs and 17 mins
Just One Kiss,Carly Phillips,6 hrs and 14 mins
Slightly Scandalous,Mary Balogh,11 hrs and 56 mins
The Winston Brothers Box Set,Penny Reid,25 hrs and 37 mins
Verity,Colleen Hoover,8 hrs and 10 mins
"Shōgun, Part One",James Clavell,24 hrs and 18 mins
What Doesn't Destroy Us,M. N. Forgy,9 hrs and 44 mins
Alastair,Jaclyn Osborn,14 hrs and 59 mins
Snowed In,Krista Wolf,5 hrs and 50 mins
Dragonfly in Amber,Diana Gabaldon,38 hrs and 54 mins
Unlucky Like Us,Krista Ritchie,19 hrs and 24 mins
The Christmas Wishing Tree,Emily March,10 hrs and 37 mins
Goal,Alexandria House,6 hrs and 12 mins
Just One Taste,Carly Phillips,6 hrs and 55 mins
His Demands,Ali Parker,8 hrs and 25 mins
The Game Plan,Micalea Smeltzer,9 hrs and 35 mins
The Proposal,Mary Balogh,11 hrs and 19 mins
Hungry for Her Wolves: A Reverse Harem Paranormal Romance,Tara West,9 hrs and 2 mins
Cream Puff Murder,Joanne Fluke,9 hrs and 44 mins
The Highlander’s Christmas Bride,Vanessa Kelly,12 hrs and 38 mins
Booklover,J.E. Birk,7 hrs and 32 mins
Booklover,J.E. Birk,7 hrs and 32 mins
Coming Home,Rosamunde Pilcher,40 hrs and 37 mins
Finally Free,Riley Edwards,3 hrs and 49 mins
Because of Her,Jewel E. Ann,10 hrs and 36 mins
The Significant Brothers Collection,E. Davies,37 hrs and 28 mins
Northern Lights,Nora Roberts,15 hrs and 5 mins
The Dark Side,Danielle Steel,8 hrs and 31 mins
A Court of Wings and Ruin (Part 2 of 3) (Dramatized Adaptation),Sarah J. Maas,6 hrs and 31 mins
Through the Fire,Katie Ruggle,10 hrs and 41 mins
Veronica's Dragon: A SciFi Alien Romance,Ruby Dixon,8 hrs and 1 min
A Touch of Darkness,Scarlett St. Clair,11 hrs and 6 mins
One Apocalypse,Kristy Cunning,8 hrs and 6 mins
Eighteen (18),JA Huss,7 hrs and 12 mins
Slightly Married,Mary Balogh,10 hrs and 57 mins
Rumeurs au bureau,Karine Bergevin,5 hrs and 41 mins
Sundered,Bethany Adams,11 hrs and 35 mins
Next of Kin,Jae,15 hrs and 11 mins
Alien Bride,Tracy Lauren,9 hrs and 43 mins
Haunting Adeline,H. D. Carlton,15 hrs and 48 mins
Hideaway,Nora Roberts,15 hrs and 51 mins
Incandescent,River Savage,8 hrs and 34 mins
Incandescent,River Savage,8 hrs and 34 mins
Power Plays & Straight A's,Eden Finley,7 hrs and 14 mins
Still Hung Up on You,Liz Maverick,2 hrs and 28 mins
The Obsession,Nora Roberts,14 hrs and 19 mins
Thirtynothing,Lisa Jewell,14 hrs and 25 mins
The City,Dean Koontz,13 hrs and 11 mins
Enemies to lovers (French edition),Shay Carrot,16 hrs and 58 mins
Free,Riley Edwards,4 hrs and 57 mins
The Christmas Sisters,Sarah Morgan,12 hrs and 32 mins
Aurora's Angel,Emily Noon,20 hrs and 40 mins
Sweet Thing,JA Huss,5 hrs and 53 mins
Yuletide Kiss,Madeline Hunter,10 hrs and 28 mins
"Love Always, Wild",A.M. Johnson,9 hrs and 21 mins
Match,Lili Boisvert,3 hrs and 12 mins
Bared to You,Sylvia Day,11 hrs and 32 mins
Dark Symphony,Christine Feehan,13 hrs and 50 mins
One for the Money,Janet Evanovich,8 hrs and 32 mins
Key of Light,Nora Roberts,10 hrs and 40 mins
Come Sundown,Nora Roberts,17 hrs and 17 mins
Freedom,Riley Edwards,5 hrs and 38 mins
The Penalty Box,Odette Stone,10 hrs and 13 mins
The Penalty Box,Odette Stone,10 hrs and 13 mins
A Court of Frost and Starlight,Sarah J. Maas,6 hrs and 23 mins
A Study in Scarlet Women,Sherry Thomas,11 hrs
Hooked,Emily McIntire,9 hrs
Kisses Like Rain,Charmaine Pauls,13 hrs and 1 min
Light My Fire,G.A. Aiken,15 hrs and 15 mins
Witches Get Stuff Done,Molly Harper,8 hrs and 23 mins
Soulless,T.M. Frazier,7 hrs and 35 mins
Just One Spark,Carly Phillips,6 hrs and 1 min
Emma [Naxos Edition],Jane Austen,16 hrs and 39 mins
Dirty Truths,Brittanee Nicole,8 hrs and 34 mins
Scarlet Feather,Maeve Binchy,20 hrs and 8 mins
What Lurks Between the Fates,Harper L. Woods,14 hrs and 8 mins
Great and Precious Things,Rebecca Yarros,12 hrs and 10 mins
Comfort Zone,Missy Johnson,6 hrs and 50 mins
Between Never and Forever,Brit Benson,14 hrs and 23 mins
Run to Ground,Katie Ruggle,9 hrs and 28 mins
Voyager,Diana Gabaldon,43 hrs and 46 mins
The Flaw in Our Design,Monica McCallan,11 hrs and 47 mins
The Numbers Game,Danielle Steel,8 hrs and 30 mins
The Becoming,Nora Roberts,15 hrs and 42 mins
The Becoming,Nora Roberts,15 hrs and 42 mins
The Four Kingdoms Box Set 2,Melanie Cellier,19 hrs and 1 min
The King's Curse,Philippa Gregory,24 hrs and 12 mins
Taming Hollywood's Baddest Boy,Max Monroe,9 hrs and 7 mins
Don’t Rush Me,Jackie May,7 hrs and 16 mins
Carol - The Price of Salt,Patricia Highsmith,10 hrs and 37 mins
Montana Sky,Nora Roberts,16 hrs and 40 mins
Christmas Letters,Debbie Macomber,4 hrs and 46 mins
La veuve du boulanger,Denis Monette,13 hrs and 21 mins
Beauchamp Hall,Danielle Steel,7 hrs and 23 mins
Inflame Me,Ryan Michele,6 hrs and 44 mins
Caught Stealing,CE Ricci,10 hrs and 24 mins
Cinder,Chelle Bliss,7 hrs
Twisted,Emily McIntire,10 hrs and 44 mins
Make Me Love You,Johanna Lindsey,9 hrs and 39 mins
Wolf with Benefits,Shelly Laurenston,13 hrs and 11 mins
Winter Lost,Patricia Briggs,11 hrs
From Blood and Ash,Jennifer L. Armentrout,19 hrs and 46 mins
Without Warning,Lynette Eason,8 hrs and 52 mins
Le Talisman,Diana Gabaldon,32 hrs and 30 mins
